Borough,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile,,,,,,
Kingston upon Thames,Studio,10,870,825,875,900,,,,,,
Kingston upon Thames,One Bedroom,190,"1,160","1,050","1,155","1,260",,,,,,
Kingston upon Thames,Two Bedrooms,290,"1,497","1,300","1,450","1,650",,,,,,
Kingston upon Thames,Three Bedrooms,120,"1,975","1,625","1,900","2,250",,,,,,
Kingston upon Thames,Four or More Bedrooms,50,"2,554","2,100","2,450","2,850",,,,,,
Lambeth,Room,20,743,650,707,900,,,,,,
Lambeth,Studio,60,926,800,900,"1,000",,,,,,
Lambeth,One Bedroom,440,"1,467","1,250","1,435","1,600",,,,,,
Lambeth,Two Bedrooms,570,"1,838","1,550","1,750","2,000",,,,,,
Lambeth,Three Bedrooms,220,"2,318","1,840","2,300","2,600",,,,,,
Lambeth,Four or More Bedrooms,100,"3,228","2,600","3,145","3,601",,,,,,
Lewisham,Room,70,672,592,692,751,,,,,,
Lewisham,Studio,70,989,900,995,"1,080",,,,,,
Lewisham,One Bedroom,520,"1,177","1,050","1,150","1,300",,,,,,
Lewisham,Two Bedrooms,680,"1,454","1,300","1,428","1,600",,,,,,
Lewisham,Three Bedrooms,250,"1,835","1,600","1,800","2,000",,,,,,
Lewisham,Four or More Bedrooms,110,"2,416","2,000","2,379","2,650",,,,,,
Merton,Room,10,519,475,475,607,,,,,,
Merton,Studio,10,"1,000",875,"1,050","1,075",,,,,,
Merton,One Bedroom,170,"1,315","1,150","1,300","1,450",,,,,,
Merton,Two Bedrooms,350,"1,651","1,350","1,575","1,850",,,,,,
Merton,Three Bedrooms,160,"2,267","1,710","2,100","2,675",,,,,,
Merton,Four or More Bedrooms,80,"3,165","2,550","2,850","3,600",,,,,,
Newham,Room,60,582,450,592,679,,,,,,
Newham,Studio,30,"1,079",875,"1,000","1,321",,,,,,
Newham,One Bedroom,510,"1,260","1,075","1,200","1,425",,,,,,
Newham,Two Bedrooms,600,"1,531","1,321","1,450","1,675",,,,,,
Newham,Three Bedrooms,330,"1,794","1,575","1,700","1,900",,,,,,
Newham,Four or More Bedrooms,100,"2,118","1,800","2,000","2,300",,,,,,
Redbridge,Room,60,793,633,642,742,,,,,,
Redbridge,Studio,30,833,750,810,900,,,,,,
Redbridge,One Bedroom,370,"1,133","1,000","1,100","1,200",,,,,,
Redbridge,Two Bedrooms,600,"1,362","1,250","1,343","1,450",,,,,,
Redbridge,Three Bedrooms,330,"1,673","1,500","1,650","1,800",,,,,,
Redbridge,Four or More Bedrooms,120,"2,140","1,840","2,025","2,350",,,,,,
Richmond upon Thames,Room,10,756,650,792,817,,,,,,
Richmond upon Thames,Studio,40,"1,009",870,"1,040","1,100",,,,,,
Richmond upon Thames,One Bedroom,340,"1,299","1,150","1,275","1,400",,,,,,
Richmond upon Thames,Two Bedrooms,540,"1,752","1,500","1,670","1,900",,,,,,
Richmond upon Thames,Three Bedrooms,240,"2,356","1,777","2,200","2,750",,,,,,
Richmond upon Thames,Four or More Bedrooms,90,"3,864","2,750","3,640","4,500",,,,,,
Southwark,Room,10,724,651,692,826,,,,,,
Southwark,Studio,60,"1,165","1,050","1,115","1,275",,,,,,
Southwark,One Bedroom,810,"1,536","1,300","1,500","1,733",,,,,,
Southwark,Two Bedrooms,"1,070","1,982","1,600","1,850","2,250",,,,,,
Southwark,Three Bedrooms,330,"2,416","2,000","2,300","2,700",,,,,,
Southwark,Four or More Bedrooms,160,"3,326","2,775","3,250","3,650",,,,,,
Sutton,Room,-,..,..,..,..,,,,,,
Sutton,Studio,60,791,725,800,850,,,,,,
Sutton,One Bedroom,380,"1,001",900,975,"1,100",,,,,,
Sutton,Two Bedrooms,490,"1,277","1,150","1,250","1,400",,,,,,
Sutton,Three Bedrooms,170,"1,666","1,500","1,610","1,800",,,,,,
Sutton,Four or More Bedrooms,50,"2,304","1,950","2,250","2,600",,,,,,
Tower Hamlets,Room,40,706,592,692,792,,,,,,
Tower Hamlets,Studio,70,"1,441","1,196","1,400","1,582",,,,,,
Tower Hamlets,One Bedroom,440,"1,593","1,350","1,550","1,777",,,,,,
Tower Hamlets,Two Bedrooms,530,"2,013","1,650","1,850","2,147",,,,,,
Tower Hamlets,Three Bedrooms,160,"2,368","1,926","2,275","2,695",,,,,,
Tower Hamlets,Four or More Bedrooms,40,"2,996","2,600","3,000","3,450",,,,,,
Waltham Forest,Room,30,544,472,492,567,,,,,,
Waltham Forest,Studio,30,856,720,875,"1,000",,,,,,
Waltham Forest,One Bedroom,470,"1,178","1,050","1,178","1,290",,,,,,
Waltham Forest,Two Bedrooms,640,"1,447","1,300","1,425","1,600",,,,,,
Waltham Forest,Three Bedrooms,300,"1,750","1,550","1,700","1,900",,,,,,
Waltham Forest,Four or More Bedrooms,80,"2,131","1,900","2,138","2,398",,,,,,
Wandsworth,Room,40,688,624,700,774,,,,,,
Wandsworth,Studio,30,"1,113","1,000","1,050","1,200",,,,,,
Wandsworth,One Bedroom,410,"1,541","1,350","1,500","1,677",,,,,,
Wandsworth,Two Bedrooms,740,"1,906","1,600","1,800","2,102",,,,,,
Wandsworth,Three Bedrooms,310,"2,511","2,000","2,450","2,850",,,,,,
Wandsworth,Four or More Bedrooms,180,"3,421","2,700","3,350","3,950",,,,,,
Westminster,Room,60,849,722,852,938,,,,,,
Westminster,Studio,110,"1,421","1,200","1,300","1,517",,,,,,
Westminster,One Bedroom,460,"2,244","1,777","2,102","2,513",,,,,,
Westminster,Two Bedrooms,410,"3,256","2,427","2,925","3,662",,,,,,
Westminster,Three Bedrooms,140,"5,008","3,185","4,013","5,612",,,,,,
Westminster,Four or More Bedrooms,40,"12,194","4,767","12,500","17,333",,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
